Name	Probability	Cycle	Input_1	Input_2	Input_3	Input_4	Input_5	Output
Test1	0.681282095	5	1 1 0 1 0	1 1 1 0 0	1 0 0 1 1	1 0 0 1 0	0 0 0 1 0	0 0 1 0 1
Test2	0.360273065	5	1 1 0 0 1	1 1 1 0 0	0 1 0 1 1	0 0 0 1 1	1 0 1 1 1	1 1 0 1 0
Test3	0.182263109	5	0 0 1 1 1	1 0 0 1 0	0 0 1 0 1	0 1 0 1 0	0 0 0 0 0	1 1 0 1 0
Test4	0.66198258	5	0 0 1 1 0	0 0 0 0 0	1 1 1 1 1	1 1 1 1 1	0 0 0 0 1	0 0 1 1 1
Test5	0.829204368	5	1 0 0 1 0	0 0 0 0 1	1 0 1 0 0	0 0 0 1 1	0 1 1 1 0	0 1 0 1 0
Test6	0.818438965	5	0 1 0 1 1	1 0 1 0 1	1 0 0 0 1	0 0 1 1 0	1 0 1 1 0	1 1 1 1 1
Test7	0.686155577	5	0 1 0 0 0	1 0 1 0 0	0 1 1 0 1	0 0 0 1 1	0 1 1 1 0	1 1 1 0 0
Test8	0.209482928	5	1 0 0 1 1	1 1 1 1 0	1 0 1 0 0	0 0 1 0 0	1 1 0 0 0	0 0 1 0 1
Test9	0.722140671	5	0 1 1 0 1	0 1 0 1 1	0 0 1 0 1	1 1 1 1 0	1 0 1 1 1	0 1 0 1 0
Test10	0.170930964	5	1 0 1 1 0	0 0 0 1 0	1 0 1 1 0	0 0 0 0 1	1 1 1 0 1	1 1 1 1 0
Test11	0.834823842	5	1 1 0 1 0	0 0 1 1 1	0 1 1 1 0	1 0 0 0 0	1 0 1 1 0	1 0 1 0 1
Test12	0.537366498	5	1 1 1 1 0	1 0 0 0 0	1 0 0 0 1	1 1 0 0 0	0 0 1 0 0	0 0 0 1 1
Test13	0.881258599	5	1 1 1 1 0	0 0 1 0 0	0 1 0 0 0	0 1 1 0 0	0 0 1 0 0	1 1 0 1 0
Test14	0.532856709	5	0 1 1 1 1	1 1 0 1 1	0 1 1 0 1	1 1 0 1 0	0 0 0 0 1	0 0 0 1 0
Test15	0.711074542	5	0 0 0 1 0	1 1 0 0 1	0 0 0 1 1	1 0 1 1 0	0 1 1 0 1	0 0 0 1 1
Test16	0.716186287	5	1 0 1 1 0	1 0 0 0 0	0 1 1 1 0	0 1 0 0 1	0 0 0 1 0	0 0 0 1 1
Test17	0.45510348	5	0 0 0 1 1	0 0 0 0 0	1 0 0 0 1	0 1 1 1 0	0 1 0 1 1	1 0 1 1 1
Test18	0.277201273	5	1 0 0 0 1	0 1 0 0 1	0 0 0 0 0	1 0 0 0 0	1 0 1 0 0	1 1 1 0 0
Test19	0.65646222	5	0 1 0 0 1	1 1 1 1 0	0 0 1 0 0	1 0 1 1 1	0 0 1 0 0	0 0 0 0 0
Test20	0.446971292	5	0 0 1 1 0	1 0 0 0 1	1 1 0 1 1	1 1 1 1 1	0 0 0 0 1	1 0 0 1 0
Test21	0.853188528	5	0 1 0 0 0	0 1 0 0 1	0 1 1 0 0	1 0 0 1 0	1 1 1 0 1	0 0 0 1 0
Test22	0.492103124	5	0 0 1 1 0	1 1 0 1 1	0 0 1 1 1	1 0 0 1 0	1 1 0 0 0	1 0 0 0 0
Test23	0.350229991	5	1 0 1 1 0	1 1 0 1 1	0 0 0 1 0	1 0 1 1 0	0 1 1 1 0	1 0 1 1 1
Test24	0.710158867	5	1 1 0 0 1	1 1 1 1 0	1 0 1 0 0	0 1 0 1 1	0 0 1 0 1	1 1 1 0 1
Test25	0.309898113	5	1 1 0 1 1	1 1 1 1 0	0 1 0 0 1	0 1 1 0 1	1 0 0 1 0	1 0 0 1 1
Test26	0.355857304	5	1 1 0 1 1	1 1 1 0 1	0 1 0 0 0	1 0 0 0 0	1 1 0 0 1	0 0 1 1 1
Test27	0.073371249	5	0 0 0 0 1	0 0 1 0 0	1 0 0 0 1	0 1 1 0 1	0 1 1 1 0	1 0 1 1 1
Test28	0.996143261	5	1 1 1 0 0	1 1 1 1 0	0 1 0 1 0	1 1 0 1 0	1 0 1 1 1	0 0 1 0 1
Test29	0.665974837	5	0 0 0 1 0	1 0 0 1 0	0 0 1 1 0	1 0 1 1 0	1 0 0 0 1	1 0 0 0 1
Test30	0.666859525	5	0 1 0 0 0	0 0 1 0 0	0 1 0 0 1	1 1 0 1 0	0 0 1 1 0	1 1 0 0 1
Test31	0.442580791	5	0 1 1 1 0	1 0 1 0 0	0 1 0 1 1	0 1 0 1 1	0 1 0 0 1	1 0 0 1 1
Test32	0.351230512	5	1 1 1 1 0	0 0 0 0 0	1 1 0 1 0	1 0 0 0 0	0 0 0 1 0	1 0 1 1 0
Test33	0.362256552	5	1 0 0 1 1	1 0 1 0 1	1 0 0 1 1	1 1 0 0 1	1 0 0 0 0	1 1 1 0 0
Test34	0.257688961	5	0 0 1 0 0	0 0 0 0 0	0 1 0 1 1	0 1 0 1 1	0 0 0 1 0	0 0 1 1 0
Test35	0.496856014	5	1 1 1 0 0	0 1 0 1 0	1 1 1 0 1	0 0 0 1 0	1 0 0 1 0	1 1 0 1 1
Test36	0.36568986	5	1 1 0 1 0	0 1 0 0 0	1 1 1 1 0	1 1 0 1 0	0 1 1 1 1	1 1 0 0 1
Test37	0.415090221	5	1 1 0 1 1	1 1 1 0 1	0 1 0 0 1	1 0 0 1 0	1 1 0 1 0	0 0 1 1 1
Test38	0.233472493	5	1 1 1 0 1	0 1 0 0 1	1 1 1 1 0	0 0 0 1 0	0 1 0 0 1	0 0 0 0 1
Test39	0.22936625	5	1 1 1 0 1	0 1 0 1 1	1 1 1 1 1	1 1 0 1 1	1 0 0 0 0	0 0 0 1 0
Test40	0.246035437	5	0 0 0 1 0	1 0 1 0 0	1 0 1 1 0	1 1 1 1 0	1 0 0 1 0	0 1 1 0 0
Test41	0.495738648	5	1 1 0 1 0	1 1 1 1 0	0 0 1 1 1	1 1 1 1 1	0 1 1 1 1	1 0 0 1 1
Test42	0.387244761	5	1 0 0 1 1	1 1 1 1 0	1 0 0 0 0	0 1 1 0 1	0 1 1 0 1	1 1 1 0 1
Test43	0.446053217	5	1 0 0 1 0	0 0 0 1 0	1 1 0 0 1	1 0 1 0 1	1 0 1 1 0	0 1 0 1 0
Test44	0.192538265	5	1 0 0 0 1	1 1 1 0 1	1 1 0 1 1	1 1 0 0 0	0 0 0 0 0	0 1 1 1 1
Test45	0.278589858	5	1 0 0 1 1	0 0 1 1 1	0 1 0 0 0	1 1 1 1 0	0 0 0 1 1	0 0 0 0 1
Test46	0.662104816	5	1 1 1 1 0	0 1 0 1 1	1 0 1 1 1	0 1 1 0 0	0 0 0 0 0	0 1 1 1 0
Test47	0.021778651	5	1 1 0 1 1	0 1 0 1 1	1 0 0 0 1	0 0 0 1 1	1 1 0 0 1	1 1 0 1 1
Test48	0.77830351	5	1 1 1 0 1	0 0 1 0 0	1 0 0 1 1	1 0 1 1 0	0 0 1 1 1	1 1 0 1 1
