Name	Probability	Cycle	In	In_1	In_2	Out
X1	0.753898588	1	1 1 1 1 0 1 1 0 0 1	1 1 1 1 0	1 1 0 0 1	0 0 1 1 1
X2	0.066354059	1	1 1 1 0 1 0 1 1 1 0	1 1 1 0 1	0 1 1 1 0	0 1 1 0 1
X3	0.184840253	1	1 0 0 0 0 0 0 0 1 1	1 0 0 0 0	0 0 0 1 1	1 0 0 0 0
X4	0.961613918	1	0 0 1 1 1 1 0 1 0 1	0 0 1 1 1	1 0 1 0 1	0 0 0 1 1
X5	0.885991813	1	1 1 1 1 1 1 1 0 1 1	1 1 1 1 1	1 1 0 1 1	0 0 0 1 0
X6	0.700121633	1	0 1 0 1 0 1 1 1 1 1	0 1 0 1 0	1 1 1 1 1	1 1 1 0 0
X7	0.956184239	1	1 0 1 0 0 1 1 0 1 1	1 0 1 0 0	1 1 0 1 1	1 1 1 1 0
X8	0.712883531	1	0 0 0 0 0 1 1 1 1 1	0 0 0 0 0	1 1 1 1 1	0 0 1 0 0
X9	0.270579696	1	0 1 0 0 0 1 0 1 1 1	0 1 0 0 0	1 0 1 1 1	1 0 1 1 0
X10	0.396742696	1	1 1 1 1 1 1 0 0 1 1	1 1 1 1 1	1 0 0 1 1	0 0 0 0 0
X11	0.853442291	1	1 0 0 1 1 1 1 1 0 1	1 0 0 1 1	1 1 1 0 1	1 1 0 0 1
X12	0.919708417	1	0 0 1 0 0 0 0 1 1 0	0 0 1 0 0	0 0 1 1 0	0 1 0 1 1
X13	0.965032013	1	1 1 0 1 1 0 1 0 1 1	1 1 0 1 1	0 1 0 1 1	0 1 1 1 0
X14	0.853313204	1	0 1 1 0 0 0 0 1 1 1	0 1 1 0 0	0 0 1 1 1	1 1 0 1 0
X15	0.835033879	1	1 1 1 1 0 0 0 1 0 0	1 1 1 1 0	0 0 1 0 0	0 0 0 1 0
X16	0.722042791	1	1 1 0 0 0 0 0 1 1 1	1 1 0 0 0	0 0 1 1 1	0 0 0 1 0
X17	0.271854573	1	0 0 1 1 0 0 0 1 1 1	0 0 1 1 0	0 0 1 1 1	0 0 0 1 0
X18	0.044263923	1	1 0 1 1 1 0 0 1 0 0	1 0 1 1 1	0 0 1 0 0	1 0 1 1 0
X19	0.724407177	1	1 0 1 1 1 0 0 1 0 0	1 0 1 1 1	0 0 1 0 0	1 0 1 1 0
X20	0.065530904	1	1 1 0 0 1 0 1 0 0 0	1 1 0 0 1	0 1 0 0 0	0 0 1 1 0
X21	0.00945755	1	0 1 1 0 1 1 1 0 1 0	0 1 1 0 1	1 1 0 1 0	1 1 0 1 1
X22	0.107542426	1	0 0 0 1 1 1 0 0 0 1	0 0 0 1 1	1 0 0 0 1	0 1 0 0 1
X23	0.68695368	1	1 1 0 1 1 1 1 0 1 1	1 1 0 1 1	1 1 0 1 1	0 1 0 1 0
X24	0.942232003	1	1 1 1 1 1 1 0 0 1 0	1 1 1 1 1	1 0 0 1 0	0 0 0 0 1
X25	0.633100616	1	1 0 1 0 0 0 0 0 0 1	1 0 1 0 0	0 0 0 0 1	1 1 0 0 1
X26	0.919103489	1	1 1 0 1 1 1 1 1 0 1	1 1 0 1 1	1 1 1 0 1	0 1 0 0 1
X27	0.007275584	1	0 1 0 1 0 1 1 0 0 1	0 1 0 1 0	1 1 0 0 1	1 1 1 1 1
X28	0.996400221	1	1 0 0 0 0 1 1 0 0 0	1 0 0 0 0	1 1 0 0 0	1 0 1 1 0
X29	0.173022076	1	0 0 1 0 0 1 0 0 0 0	0 0 1 0 0	1 0 0 0 0	0 1 1 0 0
X30	0.371287262	1	1 0 0 0 1 0 0 0 1 0	1 0 0 0 1	0 0 0 1 0	1 0 1 0 1
X31	0.811505186	1	1 0 1 1 0 0 1 0 0 0	1 0 1 1 0	0 1 0 0 0	1 0 0 1 0
X32	0.589868589	1	0 0 0 0 0 0 1 1 0 1	0 0 0 0 0	0 1 1 0 1	0 0 0 0 1
X33	0.126001447	1	0 1 0 0 1 0 1 1 0 0	0 1 0 0 1	0 1 1 0 0	1 0 1 0 0
X34	0.059181651	1	1 1 0 0 1 1 1 1 0 1	1 1 0 0 1	1 1 1 0 1	0 0 0 0 1
X35	0.492365774	1	0 0 0 0 1 0 1 1 0 1	0 0 0 0 1	0 1 1 0 1	0 0 1 0 1
X36	0.11145968	1	0 1 1 0 0 1 1 1 1 1	0 1 1 0 0	1 1 1 1 1	1 1 1 0 0
X37	0.687463389	1	0 1 1 0 1 1 1 1 0 0	0 1 1 0 1	1 1 1 0 0	1 1 0 0 0
X38	0.311968893	1	0 0 1 1 1 0 1 1 1 0	0 0 1 1 1	0 1 1 1 0	0 0 1 0 1
X39	0.373811258	1	0 0 1 1 0 1 1 0 0 1	0 0 1 1 0	1 1 0 0 1	0 0 1 1 1
X40	0.677890563	1	0 0 0 1 0 0 1 1 0 1	0 0 0 1 0	0 1 1 0 1	0 1 0 0 1
X41	0.462560253	1	0 0 0 0 1 0 1 0 0 0	0 0 0 0 1	0 1 0 0 0	0 0 1 1 0
X42	0.960207579	1	0 1 0 0 0 0 0 0 1 0	0 1 0 0 0	0 0 0 1 0	1 0 0 0 1
X43	0.849733504	1	1 0 0 1 1 1 1 1 0 0	1 0 0 1 1	1 1 1 0 0	1 1 0 0 0
X44	0.753474577	1	1 0 1 0 1 1 0 0 1 1	1 0 1 0 1	1 0 0 1 1	1 1 0 0 0
X45	0.253206717	1	0 0 1 1 0 1 1 1 1 0	0 0 1 1 0	1 1 1 1 0	0 0 1 0 1
X46	0.70793417	1	0 1 1 1 0 0 0 1 1 0	0 1 1 1 0	0 0 1 1 0	1 0 0 1 1
X47	0.522081173	1	0 0 1 1 1 0 1 1 1 0	0 0 1 1 1	0 1 1 1 0	0 0 1 0 1
X48	0.975455604	1	0 1 0 1 1 1 1 0 0 1	0 1 0 1 1	1 1 0 0 1	1 1 0 1 1
X49	0.829369175	1	0 0 1 0 0 1 0 0 1 1	0 0 1 0 0	1 0 0 1 1	0 1 1 0 0
X50	0.915978432	1	1 1 1 1 1 0 1 1 1 1	1 1 1 1 1	0 1 1 1 1	0 0 1 0 0
X51	0.1504932	1	0 1 1 0 0 0 0 1 0 0	0 1 1 0 0	0 0 1 0 0	1 1 0 1 0
X52	0.426369996	1	0 1 1 1 1 1 0 0 0 1	0 1 1 1 1	1 0 0 0 1	1 0 0 0 1
X53	0.546570604	1	1 0 1 0 0 0 1 1 0 0	1 0 1 0 0	0 1 1 0 0	1 1 0 0 0
X54	0.578849672	1	1 0 1 0 1 0 0 0 0 1	1 0 1 0 1	0 0 0 0 1	1 1 1 0 1
X55	0.739042787	1	0 0 1 1 0 0 0 0 0 0	0 0 1 1 0	0 0 0 0 0	0 0 0 0 0
X56	0.92500217	1	1 1 0 0 0 0 0 0 0 1	1 1 0 0 0	0 0 0 0 1	0 0 0 0 1
X57	0.751543164	1	0 0 1 0 1 1 1 0 0 1	0 0 1 0 1	1 1 0 0 1	0 1 0 1 1
