Name	Probability	Cycle	Input_1	Input_2	Input_3	Input_4	Input_5	Output
X1	0.860148687	5	0 1 1 0 1	0 0 0 0 1	1 0 0 0 0	0 0 1 0 1	0 0 0 0 0	0 0 0 0 1
X2	0.445799432	5	1 0 0 0 1	1 1 1 0 0	1 1 1 0 1	1 0 0 1 0	0 0 0 0 0	1 0 0 0 0
X3	0.235668805	5	1 0 1 0 0	0 0 1 1 1	1 1 0 0 0	0 0 1 1 0	0 0 0 0 1	0 0 1 0 0
X4	0.454451908	5	1 1 1 1 1	1 0 0 1 0	1 0 1 1 0	1 0 0 1 1	0 0 1 1 0	1 0 1 1 0
X5	0.446080068	5	1 0 1 0 1	1 0 0 1 1	0 0 0 1 1	0 0 1 0 1	0 0 0 0 1	0 0 0 0 1
X6	0.944507604	5	1 0 0 1 1	1 1 0 0 1	1 0 1 1 0	0 1 0 0 1	0 1 1 0 1	1 1 0 0 1
X7	0.062855299	5	1 0 0 0 1	0 0 0 1 1	0 0 0 1 0	1 0 0 1 1	0 0 0 0 0	0 0 0 1 1
X8	0.662333895	5	0 1 0 1 1	0 1 0 0 0	0 1 1 0 0	1 0 0 1 1	1 1 0 1 0	0 1 0 1 0
X9	0.761978725	5	0 1 0 0 1	0 1 1 1 0	0 1 0 0 0	0 0 1 0 0	0 0 0 0 1	0 1 0 0 0
X10	0.942729608	5	1 0 0 1 0	0 0 1 0 1	1 1 1 1 1	0 1 1 1 1	0 1 0 0 1	0 1 1 1 1
X11	0.217628443	5	0 1 0 1 0	1 0 1 1 0	0 0 1 0 0	0 0 1 1 0	1 1 1 1 1	0 0 1 1 0
X12	0.177064222	5	1 1 0 1 1	1 1 0 0 1	1 0 1 0 0	0 0 0 0 0	1 1 0 1 1	1 1 0 0 1
X13	0.181448488	5	1 0 1 1 0	0 0 1 1 1	1 1 1 0 1	1 0 1 0 1	0 0 0 1 0	1 0 1 1 1
X14	0.654980498	5	1 1 0 1 0	0 0 1 0 0	1 1 1 1 1	0 1 1 0 1	1 1 0 0 0	1 1 1 0 0
X15	0.493823257	5	1 0 0 1 1	0 1 1 0 0	0 0 1 1 1	0 1 1 1 0	1 1 0 0 1	0 1 1 1 1
X16	0.852443439	5	1 0 0 1 0	1 0 1 0 0	0 1 1 1 1	0 0 1 1 0	1 0 0 1 0	1 0 1 1 0
X17	0.659841427	5	1 1 1 1 0	0 1 1 1 0	1 0 0 0 0	1 0 1 0 1	1 1 1 1 0	1 1 1 1 0
X18	0.524866745	5	0 1 0 1 0	0 0 0 1 0	0 1 0 1 1	1 1 0 1 1	0 1 1 0 1	0 1 0 1 1
X19	0.583462843	5	0 1 0 0 1	0 1 0 1 0	1 1 0 1 1	0 1 0 1 1	1 0 0 0 0	0 1 0 1 1
X20	0.023687072	5	0 1 1 1 1	0 1 1 0 1	0 1 0 0 0	0 1 0 1 1	1 1 0 0 0	0 1 0 0 1
X21	0.834849578	5	1 1 1 1 0	0 1 0 1 0	0 1 1 1 1	1 1 1 0 0	1 0 0 0 0	1 1 1 1 0
X22	0.905362268	5	0 1 0 1 0	1 1 1 0 1	0 1 0 1 0	1 0 1 1 0	1 1 0 1 1	1 1 0 1 0
